Brand ,Item Name ,Category,Bought Price,,Sold Price ,Sold Platform ,,,,,,,,,,,,,
Rick Owens ,Mainline Creeper Boots Sz. 42,Shoes,187.5,,-187.5,,,,,,,,,,,,,,
Dior ,Trotter Shoulder Bag - Pink,Bag,187.5,,-187.5,,,,,,,,,,,,,,
Rick Owens ,S/S 2018 DRKSHDW Zebra Ramones Sz.42,Shoes,187.5,,-187.5,,,,,,,,,,,,,,
Faure Le Page ,Pouch Wallet ,Accessory,187.5,,-187.5,,,,,,,,,,,,,,
Chanel ,Crystal Necklace ,Jewelry,187.5,,-187.5,,,,,,,,,,,,,,
Rick Owens ,DRKSHDW Nylon Ramones Sz.42,Shoes,186.4,,-186.4,,,,,,,,,,,,,,
Rick Owens ,S/S 2018 DRKSHDW Zebra Ramones Sz.42,Shoes,186.4,,-186.4,,,,,,,,,,,,,,
Chanel ,Travel Line Shoulder Bag ,Bag,186.4,,-186.4,,,,,,,,,,,,,,
Visvim,ICT Lhamo Sz.2,Tops,186.4,,-186.4,,,,,,,,,,,,,,
Visvim,Morningstar Jacket Sz.1,Outerwear,186.4,,-186.4,,,,,,,,,,,,,,
Chanel ,Crytsal Necklace ,Jewelry,186.4,,-186.4,,,,,,,,,,,,,,
